ID,Language_ID,Feature_ID,Value,Concept
151-10,selk1253,http://concepticon.clld.org/parameters/372,ɔŋsɨmɨlʸ,pointed
151-983,selk1253,http://concepticon.clld.org/parameters/372,minɨtɨlʸ,pointed
151-87,selk1253,http://concepticon.clld.org/parameters/742,čʸipɨ,end
151-294,selk1253,http://concepticon.clld.org/parameters/742,tur̃iy,end
151-522,selk1253,http://concepticon.clld.org/parameters/742,pontar̃,end
151-858,selk1253,http://concepticon.clld.org/parameters/690,ɨlɨ,bottom
151-199,selk1253,http://concepticon.clld.org/parameters/1753,pɔr̃ɨ,top
151-564,selk1253,http://concepticon.clld.org/parameters/721,ḳɔptɨlʸ,low
151-28,selk1253,http://concepticon.clld.org/parameters/1265,pir̃ḳɨ,high
151-214,selk1253,http://concepticon.clld.org/parameters/602,ɛttɨḳo,"hide, conceal"
151-42,selk1253,http://concepticon.clld.org/parameters/761,tamtɨlḳo,cover
151-265,selk1253,http://concepticon.clld.org/parameters/1046,taḳɨtɨḳo,"shut, close"
151-970,selk1253,http://concepticon.clld.org/parameters/1156,nüḳo,open
151-377,selk1253,http://concepticon.clld.org/parameters/1119,miḳɨlḳo,divide
151-167,selk1253,http://concepticon.clld.org/parameters/1359,toiḳo,separate
151-825,selk1253,http://concepticon.clld.org/parameters/1743,næntɨ tokaltɨḳo,"join, unite"
151-893,selk1253,http://concepticon.clld.org/parameters/1576,teltɨḳo,pile up
151-239,selk1253,http://concepticon.clld.org/parameters/371,ɩnnæ iḳo,pick up
151-164,selk1253,http://concepticon.clld.org/parameters/7,taḳḳɨlḳo,"collect, gather"
151-325,selk1253,http://concepticon.clld.org/parameters/838,ḳalɨpɨlʸ,"remains, left overs"
151-52,selk1253,http://concepticon.clld.org/parameters/987,ḳalɨḳo,"remain, stay"
151-203,selk1253,http://concepticon.clld.org/parameters/1442,nɨŋkɨḳo,stand
151-224,selk1253,http://concepticon.clld.org/parameters/215,ippɨḳo,lie down
151-1025,selk1253,http://concepticon.clld.org/parameters/1416,ɔmtɨḳo,sit
151-816,selk1253,http://concepticon.clld.org/parameters/998,pinḳo,put
151-136,selk1253,http://concepticon.clld.org/parameters/723,təttɨ,place
151-759,selk1253,http://concepticon.clld.org/parameters/723,koptɨ,place
151-860,selk1253,http://concepticon.clld.org/parameters/1591,pɔr̃oḳɨn,"up, above"
151-1006,selk1253,http://concepticon.clld.org/parameters/1485,ɨlḳɨn,under
151-135,selk1253,http://concepticon.clld.org/parameters/762,ponæ,outside
151-1019,selk1253,http://concepticon.clld.org/parameters/1606,šʸünʸčʸoḳɨt,"inside, in"
151-528,selk1253,http://concepticon.clld.org/parameters/1019,ukon,front
151-528,selk1253,http://concepticon.clld.org/parameters/1882,ukon,before
151-14,selk1253,http://concepticon.clld.org/parameters/1326,ɩllæ,"down, below"
151-793,selk1253,http://concepticon.clld.org/parameters/1816,ḳöḳɨn,beside
151-531,selk1253,http://concepticon.clld.org/parameters/723,tɔḳɨn,behind
151-337,selk1253,http://concepticon.clld.org/parameters/723,čʸipɔḳɨn,behind
151-305,selk1253,http://concepticon.clld.org/parameters/723,moḳɨnæn,behind
151-342,selk1253,http://concepticon.clld.org/parameters/1685,pun,after
151-58,selk1253,http://concepticon.clld.org/parameters/1098,wessaŋḳo,weigh
151-190,selk1253,http://concepticon.clld.org/parameters/884,mɔlɨiḳo,share (distribute)
151-377,selk1253,http://concepticon.clld.org/parameters/884,miḳɨlḳo,share (distribute)
151-387,selk1253,http://concepticon.clld.org/parameters/1887,ḳeptɨmɨlʸ,cheap
151-462,selk1253,http://concepticon.clld.org/parameters/1426,mir̃sɨmɨlʸ,"dear (costly, expensive)"
151-273,selk1253,http://concepticon.clld.org/parameters/657,mir̃,price
151-402,selk1253,http://concepticon.clld.org/parameters/752,lopkɨ,"store, shop"
151-195,selk1253,http://concepticon.clld.org/parameters/1082,təmḳup,merchant
151-1049,selk1253,http://concepticon.clld.org/parameters/2135,təmtɨḳo,"trade, barter"
151-169,selk1253,http://concepticon.clld.org/parameters/1571,mir̃ɨŋḳo,sell
151-423,selk1253,http://concepticon.clld.org/parameters/1869,təmɨko,buy
151-365,selk1253,http://concepticon.clld.org/parameters/733,učʸɨḳo ḳomtæt čʸɔtɨ,earn
151-817,selk1253,http://concepticon.clld.org/parameters/1122,ləni,wages
151-649,selk1253,http://concepticon.clld.org/parameters/856,lɛntɨḳo,hire
151-1037,selk1253,http://concepticon.clld.org/parameters/1081,toḳɨltɨpsa,"account, reckoning"
151-396,selk1253,http://concepticon.clld.org/parameters/718,mir̃tɨḳo,pay (vb)
151-632,selk1253,http://concepticon.clld.org/parameters/1914,ḳolʸčʸa,debt
151-368,selk1253,http://concepticon.clld.org/parameters/369,ḳolʸčʸan ɛḳo,owe
151-1013,selk1253,http://concepticon.clld.org/parameters/1823,itɨr̃ḳo,borrow
151-935,selk1253,http://concepticon.clld.org/parameters/582,mintɨr̃ḳo,lend
151-443,selk1253,http://concepticon.clld.org/parameters/1774,tar̃alʸ,"avaricious, stingy"
151-800,selk1253,http://concepticon.clld.org/parameters/1774,panʸčʸɨnɨlʸ,"avaricious, stingy"
151-110,selk1253,http://concepticon.clld.org/parameters/1934,ḳomtækɨtɨlʸ,beggar
151-226,selk1253,http://concepticon.clld.org/parameters/1934,ḳošʸtɨlʸ,beggar
151-598,selk1253,http://concepticon.clld.org/parameters/1674,ɨpkɨlɨmpɨtɨlʸ,poor
151-105,selk1253,http://concepticon.clld.org/parameters/1674,sɨḳɨlalʸ,poor
151-812,selk1253,http://concepticon.clld.org/parameters/712,tɛttalʸ,rich
151-714,selk1253,http://concepticon.clld.org/parameters/1867,kəsɨlʸ ḳomtæ,coin
151-833,selk1253,http://concepticon.clld.org/parameters/1559,ḳomtæ,money
151-205,selk1253,http://concepticon.clld.org/parameters/1095,ütɨḳo,"release, let go"
151-725,selk1253,http://concepticon.clld.org/parameters/1660,ür̃tɨḳo,lose
151-460,selk1253,http://concepticon.clld.org/parameters/719,ḳoḳo,find
151-516,selk1253,http://concepticon.clld.org/parameters/1468,peḳo,"seek, look for"
151-416,selk1253,http://concepticon.clld.org/parameters/44,ḳošʸɨk meḳo,"harm, injure, damage"
151-140,selk1253,http://concepticon.clld.org/parameters/681,panalḳo,destroy
151-719,selk1253,http://concepticon.clld.org/parameters/681,topanalḳo,destroy
151-941,selk1253,http://concepticon.clld.org/parameters/681,tayaltɨḳo,destroy
151-642,selk1253,http://concepticon.clld.org/parameters/2008,nennæ iḳo,"save, rescue"
151-296,selk1253,http://concepticon.clld.org/parameters/1997,mɛr̃ɨḳo,"preserve, look after"
151-679,selk1253,http://concepticon.clld.org/parameters/85,ḳotta miḳo,give back
151-299,selk1253,http://concepticon.clld.org/parameters/1447,miḳo,give
151-824,selk1253,http://concepticon.clld.org/parameters/738,utak,thing
151-832,selk1253,http://concepticon.clld.org/parameters/738,tetamɨ,thing
151-621,selk1253,http://concepticon.clld.org/parameters/1477,or̃ḳɨlpɨḳo,"keep, retain"
151-130,selk1253,http://concepticon.clld.org/parameters/694,iḳo,"get, obtain"
151-621,selk1253,http://concepticon.clld.org/parameters/1448,or̃ḳɨlpɨḳo,hold
151-782,selk1253,http://concepticon.clld.org/parameters/2021,or̃aḳo,"seize, grasp"
151-130,selk1253,http://concepticon.clld.org/parameters/1749,iḳo,take
151-9,selk1253,http://concepticon.clld.org/parameters/684,ɛḳo,"own, possess"
151-9,selk1253,http://concepticon.clld.org/parameters/773,ɛḳo,have
151-332,selk1253,http://concepticon.clld.org/parameters/1922,ḳanɨktɨ matḳačʸɨḳo,land (vb)
151-715,selk1253,http://concepticon.clld.org/parameters/1870,yakor̃ʸ,anchor
151-895,selk1253,http://concepticon.clld.org/parameters/1849,tuḳo,row (vb)
151-143,selk1253,http://concepticon.clld.org/parameters/234,lapɨ,paddle (noun)
151-143,selk1253,http://concepticon.clld.org/parameters/108,lapɨ,oar
151-790,selk1253,http://concepticon.clld.org/parameters/1664,pɨlɨ,raft
151-934,selk1253,http://concepticon.clld.org/parameters/1970,antɨ,canoe
151-472,selk1253,http://concepticon.clld.org/parameters/1844,alako,boat
151-394,selk1253,http://concepticon.clld.org/parameters/710,kolʸa,wheel
151-836,selk1253,http://concepticon.clld.org/parameters/122,kolʸalʸ ḳaḳlɨ,"carriage, wagon, cart"
151-790,selk1253,http://concepticon.clld.org/parameters/1011,pɨlɨ,bridge
151-1011,selk1253,http://concepticon.clld.org/parameters/2252,wəttɨ,path
151-720,selk1253,http://concepticon.clld.org/parameters/667,wəttɨ ~ məttɨ,road
151-1053,selk1253,http://concepticon.clld.org/parameters/1452,noḳḳoḳo,"push, shove"
151-323,selk1253,http://concepticon.clld.org/parameters/1452,noḳḳolḳo,"push, shove"
151-255,selk1253,http://concepticon.clld.org/parameters/367,ḳənḳo,ride
151-657,selk1253,http://concepticon.clld.org/parameters/367,kor̃aḳo,ride
151-354,selk1253,http://concepticon.clld.org/parameters/741,nʸotɨḳo,drive
151-813,selk1253,http://concepticon.clld.org/parameters/741,nʸoḳo,drive
