ID,Language_ID,Feature_ID,Value,Concept
197-680,latv1249,http://concepticon.clld.org/parameters/965,pasaule,world
197-71,latv1249,http://concepticon.clld.org/parameters/626,zeme,"earth, land"
197-71,latv1249,http://concepticon.clld.org/parameters/1228,zeme,"earth=ground, soil"
197-958,latv1249,http://concepticon.clld.org/parameters/1228,augsne,"earth=ground, soil"
197-250,latv1249,http://concepticon.clld.org/parameters/2,putekl̩i,dust
197-815,latv1249,http://concepticon.clld.org/parameters/640,dubl̩i,mud
197-1100,latv1249,http://concepticon.clld.org/parameters/671,smilts,sand
197-459,latv1249,http://concepticon.clld.org/parameters/671,smiltis,sand
197-454,latv1249,http://concepticon.clld.org/parameters/2118,kalns,"mountain, hill"
197-1353,latv1249,http://concepticon.clld.org/parameters/2118,pakalns,"mountain, hill"
197-1498,latv1249,http://concepticon.clld.org/parameters/618,krauja,"cliff, precipice"
197-842,latv1249,http://concepticon.clld.org/parameters/618,klints,"cliff, precipice"
197-1564,latv1249,http://concepticon.clld.org/parameters/652,līdzenums,"plain, field"
197-1249,latv1249,http://concepticon.clld.org/parameters/652,lauks,"plain, field"
197-101,latv1249,http://concepticon.clld.org/parameters/652,tīrums,"plain, field"
197-760,latv1249,http://concepticon.clld.org/parameters/921,leja,valley
197-352,latv1249,http://concepticon.clld.org/parameters/921,ieleja,valley
197-610,latv1249,http://concepticon.clld.org/parameters/622,sala,island
197-177,latv1249,http://concepticon.clld.org/parameters/166,cietzeme,mainland
197-1293,latv1249,http://concepticon.clld.org/parameters/113,krasts,shore
197-811,latv1249,http://concepticon.clld.org/parameters/1155,ala,cave
197-539,latv1249,http://concepticon.clld.org/parameters/948,ūdens,water
197-1254,latv1249,http://concepticon.clld.org/parameters/1474,jūra,sea
197-38,latv1249,http://concepticon.clld.org/parameters/258,mierīga (rāma) jūra,calm (of sea)
197-1273,latv1249,http://concepticon.clld.org/parameters/259,bangas,rough (of sea)
197-1410,latv1249,http://concepticon.clld.org/parameters/1768,putas,foam
197-180,latv1249,http://concepticon.clld.org/parameters/645,okeāns,ocean
197-1297,latv1249,http://concepticon.clld.org/parameters/624,ezers,lake
197-631,latv1249,http://concepticon.clld.org/parameters/663,jūras līcis,"gulf, bay"
197-1041,latv1249,http://concepticon.clld.org/parameters/623,lagūna,lagoon
197-1503,latv1249,http://concepticon.clld.org/parameters/660,rifs,reef
197-1087,latv1249,http://concepticon.clld.org/parameters/1662,zemesrags,"headland, point"
197-1477,latv1249,http://concepticon.clld.org/parameters/978,vilnis,wave
197-1273,latv1249,http://concepticon.clld.org/parameters/978,bangas,wave
197-927,latv1249,http://concepticon.clld.org/parameters/891,paisums un bēgums,tide
197-112,latv1249,http://concepticon.clld.org/parameters/1026,bēgums,lowtide
197-714,latv1249,http://concepticon.clld.org/parameters/613,paisums,hightide
197-23,latv1249,http://concepticon.clld.org/parameters/666,upe,"river, stream, brook"
197-700,latv1249,http://concepticon.clld.org/parameters/666,straume,"river, stream, brook"
197-771,latv1249,http://concepticon.clld.org/parameters/1982,atvars,whirlpool
197-770,latv1249,http://concepticon.clld.org/parameters/2144,avots,"spring, well"
