ID,Language_ID,Feature_ID,Value,Concept
223-507,zaca1242,http://concepticon.clld.org/parameters/965,čalʸū,world
223-1050,zaca1242,http://concepticon.clld.org/parameters/626,lo čalʸu,"earth, land"
223-274,zaca1242,http://concepticon.clld.org/parameters/1228,yū,"earth=ground, soil"
223-655,zaca1242,http://concepticon.clld.org/parameters/2,kita,dust
223-949,zaca1242,http://concepticon.clld.org/parameters/2,kita yū,dust
223-834,zaca1242,http://concepticon.clld.org/parameters/640,yū kuc̷uʔ,mud
223-1148,zaca1242,http://concepticon.clld.org/parameters/671,y-ši,sand
223-969,zaca1242,http://concepticon.clld.org/parameters/2118,kiʔʸa,"mountain, hill"
223-481,zaca1242,http://concepticon.clld.org/parameters/618,tuʔ kʷaʔã,"cliff, precipice"
223-177,zaca1242,http://concepticon.clld.org/parameters/652,ntẽʔ,"plain, field"
223-800,zaca1242,http://concepticon.clld.org/parameters/652,lo ntẽʔ,"plain, field"
223-177,zaca1242,http://concepticon.clld.org/parameters/921,ntẽʔ,valley
223-951,zaca1242,http://concepticon.clld.org/parameters/921,laha yū,valley
223-125,zaca1242,http://concepticon.clld.org/parameters/622,yū hluʔʷe,island
223-406,zaca1242,http://concepticon.clld.org/parameters/166,yū wtʸ,mainland
223-1274,zaca1242,http://concepticon.clld.org/parameters/113,tuʔ tuhoʔo,shore
223-334,zaca1242,http://concepticon.clld.org/parameters/1155,tu-kē,cave
223-133,zaca1242,http://concepticon.clld.org/parameters/948,tiʔa,water
223-1106,zaca1242,http://concepticon.clld.org/parameters/1474,tu-hoʔo,sea
223-149,zaca1242,http://concepticon.clld.org/parameters/258,seʔẽ ndiʔĩ tī̃ tiʔa,calm (of sea)
223-923,zaca1242,http://concepticon.clld.org/parameters/259,nčkʷẽ tiʔa,rough (of sea)
223-1014,zaca1242,http://concepticon.clld.org/parameters/259,nc̷a tuhoʔo,rough (of sea)
223-548,zaca1242,http://concepticon.clld.org/parameters/1768,ngōʔ,foam
223-1324,zaca1242,http://concepticon.clld.org/parameters/645,tuhoʔo tlʸu,ocean
223-214,zaca1242,http://concepticon.clld.org/parameters/624,tiyuʔ,lake
223-214,zaca1242,http://concepticon.clld.org/parameters/623,tiyuʔ,lagoon
223-729,zaca1242,http://concepticon.clld.org/parameters/978,kulōʔ,wave
223-571,zaca1242,http://concepticon.clld.org/parameters/666,čku,"river, stream, brook"
223-936,zaca1242,http://concepticon.clld.org/parameters/1982,kinũʔ tiʔa,whirlpool
223-81,zaca1242,http://concepticon.clld.org/parameters/2144,seʔẽ ndʸukʷa tiʔa,"spring, well"
223-1059,zaca1242,http://concepticon.clld.org/parameters/1145,ykʷaʔ,swamp
223-4,zaca1242,http://concepticon.clld.org/parameters/420,šoʔo,"woods, forest"
223-1109,zaca1242,http://concepticon.clld.org/parameters/906,yka,tree (cf 08.600)
223-1109,zaca1242,http://concepticon.clld.org/parameters/1803,yka,wood
223-205,zaca1242,http://concepticon.clld.org/parameters/1803,kaʔ,wood
223-199,zaca1242,http://concepticon.clld.org/parameters/2125,kʸē,"stone, rock"
223-1272,zaca1242,http://concepticon.clld.org/parameters/6,nɲã (čalʸū),earthquake
223-452,zaca1242,http://concepticon.clld.org/parameters/1732,kʷã niʔ kʷã,sky
223-1349,zaca1242,http://concepticon.clld.org/parameters/1343,kʷičā,sun
223-296,zaca1242,http://concepticon.clld.org/parameters/1313,koʔ,moon
223-1077,zaca1242,http://concepticon.clld.org/parameters/1430,kula,star
223-7,zaca1242,http://concepticon.clld.org/parameters/1654,šā tʸiʔʸu,lightning
223-1207,zaca1242,http://concepticon.clld.org/parameters/1654,ndʸuwi,lightning
223-1121,zaca1242,http://concepticon.clld.org/parameters/1150,nčkʷiʔ tʸiʔʸu,thunder
223-293,zaca1242,http://concepticon.clld.org/parameters/2007,nštʸi šā ndʸuwi,lightning (as striking)
223-1086,zaca1242,http://concepticon.clld.org/parameters/858,kʸō kʷiʔĩ,storm
