ID,Language_ID,Feature_ID,Value,Concept
704-748,maha1287,http://concepticon.clld.org/parameters/965,dunia,world
704-28,maha1287,http://concepticon.clld.org/parameters/965,prīthɪ,world
704-89,maha1287,http://concepticon.clld.org/parameters/965,prīthwɪ,world
704-448,maha1287,http://concepticon.clld.org/parameters/1228,maʈ:ɔ,"earth=ground, soil"
704-555,maha1287,http://concepticon.clld.org/parameters/1228,maʈo,"earth=ground, soil"
704-432,maha1287,http://concepticon.clld.org/parameters/1228,maʈ:ɪ,"earth=ground, soil"
704-183,maha1287,http://concepticon.clld.org/parameters/1228,maʈ:e,"earth=ground, soil"
704-499,maha1287,http://concepticon.clld.org/parameters/1228,zəmi:n,"earth=ground, soil"
704-649,maha1287,http://concepticon.clld.org/parameters/2,d'ʊ`ɭɔ,dust
704-850,maha1287,http://concepticon.clld.org/parameters/2,bəru:r,dust
704-354,maha1287,http://concepticon.clld.org/parameters/2,bərurɔ,dust
704-1014,maha1287,http://concepticon.clld.org/parameters/640,tsikɽɔ,mud
704-151,maha1287,http://concepticon.clld.org/parameters/671,baɭu,sand
704-939,maha1287,http://concepticon.clld.org/parameters/671,re:t,sand
704-1013,maha1287,http://concepticon.clld.org/parameters/2118,pɔb:ət,"mountain, hill"
704-952,maha1287,http://concepticon.clld.org/parameters/2118,pwa:ɽ,"mountain, hill"
704-792,maha1287,http://concepticon.clld.org/parameters/652,ɟubəɽ,"plain, field"
704-679,maha1287,http://concepticon.clld.org/parameters/652,məda:n,"plain, field"
704-234,maha1287,http://concepticon.clld.org/parameters/921,kjaɭɪ,valley
704-987,maha1287,http://concepticon.clld.org/parameters/1155,o:l,cave
704-165,maha1287,http://concepticon.clld.org/parameters/1155,ɖwa:r,cave
704-132,maha1287,http://concepticon.clld.org/parameters/948,dzɔl:,water
704-595,maha1287,http://concepticon.clld.org/parameters/948,paɳɪ,water
704-800,maha1287,http://concepticon.clld.org/parameters/645,səmudra,ocean
704-298,maha1287,http://concepticon.clld.org/parameters/645,səmundər,ocean
704-572,maha1287,http://concepticon.clld.org/parameters/666,dərɛu,"river, stream, brook"
704-1045,maha1287,http://concepticon.clld.org/parameters/666,nɛde,"river, stream, brook"
704-311,maha1287,http://concepticon.clld.org/parameters/666,nɔd:ɪ,"river, stream, brook"
704-102,maha1287,http://concepticon.clld.org/parameters/666,nɛ:,"river, stream, brook"
704-325,maha1287,http://concepticon.clld.org/parameters/2144,kuɔ,"spring, well"
704-128,maha1287,http://concepticon.clld.org/parameters/943,tshō,waterfall
704-902,maha1287,http://concepticon.clld.org/parameters/943,naɭʈo,waterfall
704-676,maha1287,http://concepticon.clld.org/parameters/420,dzaŋgəl,"woods, forest"
704-410,maha1287,http://concepticon.clld.org/parameters/1803,dz'ūkhɽɔ,wood
704-216,maha1287,http://concepticon.clld.org/parameters/2125,pāt:hər,"stone, rock"
704-574,maha1287,http://concepticon.clld.org/parameters/2125,ʃāp:əɽ,"stone, rock"
704-927,maha1287,http://concepticon.clld.org/parameters/2125,ʃākɽa,"stone, rock"
