ID,Language_ID,Feature_ID,Value,Concept
505-537,darg1241,http://concepticon.clld.org/parameters/965,дунъя,world
505-185,darg1241,http://concepticon.clld.org/parameters/626,улка,"earth, land"
505-288,darg1241,http://concepticon.clld.org/parameters/1228,ванза,"earth=ground, soil"
505-993,darg1241,http://concepticon.clld.org/parameters/1228,гІянччи,"earth=ground, soil"
505-750,darg1241,http://concepticon.clld.org/parameters/2,пухІ,dust
505-492,darg1241,http://concepticon.clld.org/parameters/640,хІагъ,mud
505-324,darg1241,http://concepticon.clld.org/parameters/640,няс,mud
505-61,darg1241,http://concepticon.clld.org/parameters/671,къум,sand
505-227,darg1241,http://concepticon.clld.org/parameters/2118,дубур,"mountain, hill"
505-1361,darg1241,http://concepticon.clld.org/parameters/2118,хъябур,"mountain, hill"
505-398,darg1241,http://concepticon.clld.org/parameters/618,шури,"cliff, precipice"
505-762,darg1241,http://concepticon.clld.org/parameters/618,лес,"cliff, precipice"
505-1098,darg1241,http://concepticon.clld.org/parameters/618,хъяш-хъяш,"cliff, precipice"
505-42,darg1241,http://concepticon.clld.org/parameters/652,диркьа,"plain, field"
505-653,darg1241,http://concepticon.clld.org/parameters/652,хъу,"plain, field"
505-614,darg1241,http://concepticon.clld.org/parameters/921,ургуба,valley
505-1262,darg1241,http://concepticon.clld.org/parameters/622,остров,island
505-1277,darg1241,http://concepticon.clld.org/parameters/166,кантинент,mainland
505-1131,darg1241,http://concepticon.clld.org/parameters/113,дуб,shore
505-505,darg1241,http://concepticon.clld.org/parameters/1155,бургула,cave
505-740,darg1241,http://concepticon.clld.org/parameters/948,шин,water
505-383,darg1241,http://concepticon.clld.org/parameters/1474,урхьу,sea
505-240,darg1241,http://concepticon.clld.org/parameters/258,паргъатсе,calm (of sea)
505-701,darg1241,http://concepticon.clld.org/parameters/259,бургъурсе,rough (of sea)
505-1086,darg1241,http://concepticon.clld.org/parameters/1768,хьулехь,foam
505-134,darg1241,http://concepticon.clld.org/parameters/645,акеан,ocean
505-14,darg1241,http://concepticon.clld.org/parameters/624,шяри,lake
505-503,darg1241,http://concepticon.clld.org/parameters/663,залиб,"gulf, bay"
505-1302,darg1241,http://concepticon.clld.org/parameters/663,бухта,"gulf, bay"
505-526,darg1241,http://concepticon.clld.org/parameters/623,лагуна,lagoon
505-1288,darg1241,http://concepticon.clld.org/parameters/660,риф,reef
505-650,darg1241,http://concepticon.clld.org/parameters/1662,хъинч,"headland, point"
505-1415,darg1241,http://concepticon.clld.org/parameters/978,рамч,wave
505-1354,darg1241,http://concepticon.clld.org/parameters/891,—,tide
505-1354,darg1241,http://concepticon.clld.org/parameters/1026,—,lowtide
505-1354,darg1241,http://concepticon.clld.org/parameters/613,—,hightide
505-1063,darg1241,http://concepticon.clld.org/parameters/666,хІеркІ,"river, stream, brook"
505-884,darg1241,http://concepticon.clld.org/parameters/1982,шулешши,whirlpool
505-1031,darg1241,http://concepticon.clld.org/parameters/2144,гІиниц,"spring, well"
505-65,darg1241,http://concepticon.clld.org/parameters/2144,къую,"spring, well"
505-780,darg1241,http://concepticon.clld.org/parameters/1145,билхІла,swamp
505-458,darg1241,http://concepticon.clld.org/parameters/943,чяххи,waterfall
505-1026,darg1241,http://concepticon.clld.org/parameters/420,вацІа,"woods, forest"
505-802,darg1241,http://concepticon.clld.org/parameters/906,ккалкка,tree (cf 08.600)
505-1304,darg1241,http://concepticon.clld.org/parameters/1803,урцули,wood
505-636,darg1241,http://concepticon.clld.org/parameters/2125,къаркъа,"stone, rock"
505-619,darg1241,http://concepticon.clld.org/parameters/6,мерс,earthquake
505-232,darg1241,http://concepticon.clld.org/parameters/1732,цак,sky
505-189,darg1241,http://concepticon.clld.org/parameters/1343,бархІи,sun
505-1398,darg1241,http://concepticon.clld.org/parameters/1313,бац,moon
505-393,darg1241,http://concepticon.clld.org/parameters/1430,ццуръала,star
505-981,darg1241,http://concepticon.clld.org/parameters/1654,лямцІ,lightning
505-1395,darg1241,http://concepticon.clld.org/parameters/1150,къукъу,thunder
505-878,darg1241,http://concepticon.clld.org/parameters/2007,лямцІла цІа,lightning (as striking)
505-330,darg1241,http://concepticon.clld.org/parameters/858,буррям,storm
505-440,darg1241,http://concepticon.clld.org/parameters/1733,зурхІяб,rainbow
505-478,darg1241,http://concepticon.clld.org/parameters/630,шала,light (noun)
505-362,darg1241,http://concepticon.clld.org/parameters/11,цІябдеш,darkness
505-1351,darg1241,http://concepticon.clld.org/parameters/1388,пяхти,"shade, shadow"
505-56,darg1241,http://concepticon.clld.org/parameters/1977,аръа,dew
505-1357,darg1241,http://concepticon.clld.org/parameters/27,гьава,air
505-558,darg1241,http://concepticon.clld.org/parameters/960,дягІ,wind
505-727,darg1241,http://concepticon.clld.org/parameters/1489,дирихь,cloud
505-1148,darg1241,http://concepticon.clld.org/parameters/1489,гъагул,cloud
505-727,darg1241,http://concepticon.clld.org/parameters/249,дирихь,fog
505-821,darg1241,http://concepticon.clld.org/parameters/658,ццаб,rain (noun)
505-744,darg1241,http://concepticon.clld.org/parameters/658,марка,rain (noun)
505-703,darg1241,http://concepticon.clld.org/parameters/784,дяхІи,snow (noun)
505-1418,darg1241,http://concepticon.clld.org/parameters/617,миъ,ice
505-63,darg1241,http://concepticon.clld.org/parameters/617,тяс миъ,ice
505-1342,darg1241,http://concepticon.clld.org/parameters/952,аргъ,weather
505-245,darg1241,http://concepticon.clld.org/parameters/221,цІа,fire
505-484,darg1241,http://concepticon.clld.org/parameters/889,лам,flame (noun)
505-446,darg1241,http://concepticon.clld.org/parameters/889,лами,flame (noun)
505-459,darg1241,http://concepticon.clld.org/parameters/778,ккав,smoke (noun)
505-435,darg1241,http://concepticon.clld.org/parameters/646,палта,ashes
505-364,darg1241,http://concepticon.clld.org/parameters/67,демччур ка,embers
505-90,darg1241,http://concepticon.clld.org/parameters/141,иччес,burn (vb trans)
505-1236,darg1241,http://concepticon.clld.org/parameters/1428,уххес,burn (vb intrans)
505-989,darg1241,http://concepticon.clld.org/parameters/737,уххахъес,"light, kindle, ignite"
505-825,darg1241,http://concepticon.clld.org/parameters/737,улчахъес,"light, kindle, ignite"
505-195,darg1241,http://concepticon.clld.org/parameters/127,бишшахъес,extinguish
505-293,darg1241,http://concepticon.clld.org/parameters/1133,пирхикІ,match (noun)
505-1304,darg1241,http://concepticon.clld.org/parameters/10,урцули,firewood
505-924,darg1241,http://concepticon.clld.org/parameters/1188,(урцулла) ка,charcoal
505-520,darg1241,http://concepticon.clld.org/parameters/683,адам,"person, human being"
505-59,darg1241,http://concepticon.clld.org/parameters/683,инсан,"person, human being"
505-276,darg1241,http://concepticon.clld.org/parameters/1554,муржил адам,man (vs. woman)
505-692,darg1241,http://concepticon.clld.org/parameters/1554,муржил,man (vs. woman)
505-184,darg1241,http://concepticon.clld.org/parameters/962,хьхьунул адам,woman
505-290,darg1241,http://concepticon.clld.org/parameters/962,хьхьунул,woman
505-820,darg1241,http://concepticon.clld.org/parameters/2263,маргасе жан,male
505-838,darg1241,http://concepticon.clld.org/parameters/2263,марга жан,male
505-1097,darg1241,http://concepticon.clld.org/parameters/2260,хIинта жан,female
505-405,darg1241,http://concepticon.clld.org/parameters/1366,дярхІя,boy
505-36,darg1241,http://concepticon.clld.org/parameters/76,жагьил,young man (adolescent)
505-437,darg1241,http://concepticon.clld.org/parameters/1646,кьицIи рурсси,girl
505-1326,darg1241,http://concepticon.clld.org/parameters/77,рурсси,young woman (adolescent)
505-60,darg1241,http://concepticon.clld.org/parameters/1304,кьицIи дярхІя,child
505-969,darg1241,http://concepticon.clld.org/parameters/1289,михъирличивси дярхІя,"infant, baby"
505-692,darg1241,http://concepticon.clld.org/parameters/1200,муржил,husband
505-290,darg1241,http://concepticon.clld.org/parameters/1199,хьхьунул,wife
505-8,darg1241,http://concepticon.clld.org/parameters/203,хъалличе кайэс,marry
505-1118,darg1241,http://concepticon.clld.org/parameters/203,хьхьунул картес,marry
505-555,darg1241,http://concepticon.clld.org/parameters/203,шери рукьес,marry
505-777,darg1241,http://concepticon.clld.org/parameters/1259,мекъ,"marriage, wedding"
505-792,darg1241,http://concepticon.clld.org/parameters/1259,магьар,"marriage, wedding"
505-1010,darg1241,http://concepticon.clld.org/parameters/1134,декІарикни,divorce
505-1209,darg1241,http://concepticon.clld.org/parameters/1217,ттуттеш,father
505-1312,darg1241,http://concepticon.clld.org/parameters/1216,неш,mother
505-33,darg1241,http://concepticon.clld.org/parameters/1216,абай,mother
505-640,darg1241,http://concepticon.clld.org/parameters/505,бегІте,parents
505-308,darg1241,http://concepticon.clld.org/parameters/424,мехъ баркьибсе,married man
505-737,darg1241,http://concepticon.clld.org/parameters/426,шерирсе,married woman
505-811,darg1241,http://concepticon.clld.org/parameters/1620,уршши,son
505-1326,darg1241,http://concepticon.clld.org/parameters/1357,рурсси,daughter
505-118,darg1241,http://concepticon.clld.org/parameters/1801,дярхІне,offspring (son or daughter)
505-427,darg1241,http://concepticon.clld.org/parameters/1262,уцци,brother
505-688,darg1241,http://concepticon.clld.org/parameters/1759,хулал уцци,older brother
505-774,darg1241,http://concepticon.clld.org/parameters/1760,кьицІил уцци,younger brother
505-456,darg1241,http://concepticon.clld.org/parameters/1263,руцци,sister
505-1279,darg1241,http://concepticon.clld.org/parameters/1758,хулал руцци,older sister
505-773,darg1241,http://concepticon.clld.org/parameters/1761,кьицІил руцци,younger sister
505-427,darg1241,http://concepticon.clld.org/parameters/1640,уцци,sibling
505-456,darg1241,http://concepticon.clld.org/parameters/1640,руцци,sibling
505-582,darg1241,http://concepticon.clld.org/parameters/1005,чІилизанте,twins
505-1292,darg1241,http://concepticon.clld.org/parameters/1383,хула ттуттеш,grandfather
505-1387,darg1241,http://concepticon.clld.org/parameters/406,ухъна,old man
505-1006,darg1241,http://concepticon.clld.org/parameters/1496,хула неш,grandmother
505-33,darg1241,http://concepticon.clld.org/parameters/1496,абай,grandmother
505-439,darg1241,http://concepticon.clld.org/parameters/907,рухъна,old woman
505-818,darg1241,http://concepticon.clld.org/parameters/1618,дярхІялла дярхІя,grandson
505-277,darg1241,http://concepticon.clld.org/parameters/1619,дярхІялла рурсси,granddaughter
505-1103,darg1241,http://concepticon.clld.org/parameters/1327,ттуттешла уцци,uncle
505-19,darg1241,http://concepticon.clld.org/parameters/1327,нешла уцци,uncle
505-19,darg1241,http://concepticon.clld.org/parameters/1984,нешла уцци,mother's brother
505-1103,darg1241,http://concepticon.clld.org/parameters/1985,ттуттешла уцци,father's brother
505-1159,darg1241,http://concepticon.clld.org/parameters/1272,ттуттешла руцци,aunt
505-135,darg1241,http://concepticon.clld.org/parameters/1272,нешла руцци,aunt
505-135,darg1241,http://concepticon.clld.org/parameters/171,нешла руцци,mother's sister
505-1159,darg1241,http://concepticon.clld.org/parameters/170,ттуттешла руцци,father's sister
505-1334,darg1241,http://concepticon.clld.org/parameters/1063,уццилла уршши,nephew
505-504,darg1241,http://concepticon.clld.org/parameters/1063,руцила уршши,nephew
505-21,darg1241,http://concepticon.clld.org/parameters/1642,уццилла рурсси,niece
505-380,darg1241,http://concepticon.clld.org/parameters/1642,руццила рурсси,niece
505-1317,darg1241,http://concepticon.clld.org/parameters/1643,уццикьар,cousin
505-392,darg1241,http://concepticon.clld.org/parameters/1643,руццикьар,cousin
505-376,darg1241,http://concepticon.clld.org/parameters/1669,хула бегІте,ancestors
505-144,darg1241,http://concepticon.clld.org/parameters/490,наслу,descendants
505-946,darg1241,http://concepticon.clld.org/parameters/2255,муржилла ттуттеш,father-in-law (of a man)
505-70,darg1241,http://concepticon.clld.org/parameters/2254,хьхьунулла ттуттеш,father-in-law (of a woman)
505-940,darg1241,http://concepticon.clld.org/parameters/2256,муржилла неш,mother-in-law (of a man)
505-1177,darg1241,http://concepticon.clld.org/parameters/2257,хьхьунулла неш,mother-in-law (of a woman)
505-318,darg1241,http://concepticon.clld.org/parameters/2267,куяв,son-in-law (of a man)
505-318,darg1241,http://concepticon.clld.org/parameters/2266,куяв,son-in-law (of a woman)
505-283,darg1241,http://concepticon.clld.org/parameters/2265,уццилла хьхьунул,daughter-in-law (of a man)
505-1294,darg1241,http://concepticon.clld.org/parameters/2264,уршшилла хьхьунул,daughter-in-law (of a woman)
505-220,darg1241,http://concepticon.clld.org/parameters/237,угай ттуттеш,stepfather
505-632,darg1241,http://concepticon.clld.org/parameters/236,угай неш,stepmother
505-532,darg1241,http://concepticon.clld.org/parameters/1059,угай уршши,stepson
505-556,darg1241,http://concepticon.clld.org/parameters/1058,угай рурсси,stepdaughter
505-1391,darg1241,http://concepticon.clld.org/parameters/1149,ятим,orphan
505-745,darg1241,http://concepticon.clld.org/parameters/1756,ккамъа,widow
505-745,darg1241,http://concepticon.clld.org/parameters/1981,ккамъа,widower
505-621,darg1241,http://concepticon.clld.org/parameters/1644,гъамте,"relatives, kinsmen"
505-1139,darg1241,http://concepticon.clld.org/parameters/1644,тухум,"relatives, kinsmen"
505-607,darg1241,http://concepticon.clld.org/parameters/194,хъалибарг,family
505-544,darg1241,http://concepticon.clld.org/parameters/1209,ну,I
505-1335,darg1241,http://concepticon.clld.org/parameters/1215,хІу,you (singular)
505-75,darg1241,http://concepticon.clld.org/parameters/262,ит,he/she/it
505-722,darg1241,http://concepticon.clld.org/parameters/1212,нухьхьа,we
505-1354,darg1241,http://concepticon.clld.org/parameters/1131,—,we (inclusive)
505-1354,darg1241,http://concepticon.clld.org/parameters/1130,—,we (exclusive)
505-554,darg1241,http://concepticon.clld.org/parameters/1213,хІухьхьа,you (plural)
505-1323,darg1241,http://concepticon.clld.org/parameters/817,итти,they
505-757,darg1241,http://concepticon.clld.org/parameters/619,хІяйван,animal
505-783,darg1241,http://concepticon.clld.org/parameters/619,мицІираг,animal
505-894,darg1241,http://concepticon.clld.org/parameters/2261,муржил (жинс),male (adj)
505-663,darg1241,http://concepticon.clld.org/parameters/2262,хьхьунул (жинс),female (adj)
505-28,darg1241,http://concepticon.clld.org/parameters/631,хІяйван къечча,livestock
505-161,darg1241,http://concepticon.clld.org/parameters/631,хъалахIайван,livestock
505-1183,darg1241,http://concepticon.clld.org/parameters/649,дучилла мер,pasture
505-397,darg1241,http://concepticon.clld.org/parameters/263,хІанкьула,herdsman
505-1043,darg1241,http://concepticon.clld.org/parameters/851,ябула дярхъ,"stable, stall"
505-789,darg1241,http://concepticon.clld.org/parameters/1153,хула хIяйванте,cattle (bovine)
505-413,darg1241,http://concepticon.clld.org/parameters/1008,унц,bull
505-175,darg1241,http://concepticon.clld.org/parameters/1008,бугъа,bull
505-413,darg1241,http://concepticon.clld.org/parameters/1169,унц,ox
505-971,darg1241,http://concepticon.clld.org/parameters/1007,кьял,cow
505-201,darg1241,http://concepticon.clld.org/parameters/1989,къечча,calf
505-1145,darg1241,http://concepticon.clld.org/parameters/1331,маза,sheep
505-1386,darg1241,http://concepticon.clld.org/parameters/1331,чуя,sheep
505-1329,darg1241,http://concepticon.clld.org/parameters/1331,маза-мас,sheep
505-1386,darg1241,http://concepticon.clld.org/parameters/1344,чуя,ram
505-1145,darg1241,http://concepticon.clld.org/parameters/1345,маза,ewe
505-119,darg1241,http://concepticon.clld.org/parameters/820,мукьара,lamb
505-805,darg1241,http://concepticon.clld.org/parameters/1348,дугIла жакьа,boar
505-1358,darg1241,http://concepticon.clld.org/parameters/1348,маргажакьа,boar
505-177,darg1241,http://concepticon.clld.org/parameters/1351,жакьа,sow (2)
505-177,darg1241,http://concepticon.clld.org/parameters/1337,жакьа,pig
505-1008,darg1241,http://concepticon.clld.org/parameters/1337,цура,pig
505-559,darg1241,http://concepticon.clld.org/parameters/1502,гІежа,goat
505-629,darg1241,http://concepticon.clld.org/parameters/264,кьяца,he-goat
505-548,darg1241,http://concepticon.clld.org/parameters/1972,ккечба,kid
505-1267,darg1241,http://concepticon.clld.org/parameters/615,урчи,horse (equine)
505-580,darg1241,http://concepticon.clld.org/parameters/615,ябу,horse (equine)
505-810,darg1241,http://concepticon.clld.org/parameters/936,марга тяй,stallion
505-568,darg1241,http://concepticon.clld.org/parameters/938,кказа,mare
505-1172,darg1241,http://concepticon.clld.org/parameters/1647,тяй,"foal, colt"
505-1132,darg1241,http://concepticon.clld.org/parameters/1862,амхІа,"ass, donkey"
505-1411,darg1241,http://concepticon.clld.org/parameters/890,амхІакъатир,mule
505-448,darg1241,http://concepticon.clld.org/parameters/265,гІяргІя-тагъа,fowl
505-851,darg1241,http://concepticon.clld.org/parameters/1511,тагъа,"cock, rooster"
505-1283,darg1241,http://concepticon.clld.org/parameters/1514,гІяргІя,hen
505-152,darg1241,http://concepticon.clld.org/parameters/1318,чIибгІя,chicken
505-591,darg1241,http://concepticon.clld.org/parameters/1187,къаз,goose
505-87,darg1241,http://concepticon.clld.org/parameters/1360,бятІ,duck
505-213,darg1241,http://concepticon.clld.org/parameters/539,пукьа,nest
505-914,darg1241,http://concepticon.clld.org/parameters/937,арцан,bird
505-1366,darg1241,http://concepticon.clld.org/parameters/950,чяйка,seagull
505-203,darg1241,http://concepticon.clld.org/parameters/758,хула арцан,heron
505-200,darg1241,http://concepticon.clld.org/parameters/1905,чІака,eagle
505-47,darg1241,http://concepticon.clld.org/parameters/307,къарчигъа,hawk
505-1128,darg1241,http://concepticon.clld.org/parameters/307,лачин,hawk
505-983,darg1241,http://concepticon.clld.org/parameters/1185,муцІурла бегІ чІака,vulture
505-972,darg1241,http://concepticon.clld.org/parameters/1793,лехІпарр хяппар,bat
